点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
82,12111,"31°18'01.206415""N","121°10'24.994218""E",-0.001,7230.704,-27946.499,0,六组,528
83,12112,"31°18'01.351212""N","121°10'17.128585""E",-0.001,7235.714,-28154.5,0,六组,529
84,12113,"31°18'10.959017""N","121°10'15.813728""E",-0.001,7531.715,-28188.485,0,六组,530
85,12114,"31°18'11.383740""N","121°10'31.581074""E",-0.001,7543.695,-27771.484,0,六组,531
86,12115,"31°17'21.768278""N","121°10'30.179493""E",-0.001,6015.697,-27812.558,0,六组,532
87,12116,"31°17'20.728324""N","121°09'32.637525""E",-0.001,5987.771,-29334.561,0,六组,533
88,12117,"31°17'06.512475""N","121°09'34.988783""E",-0.001,5549.769,-29273.582,0,六组,534
89,12118,"31°15'41.296778""N","121°18'19.514950""E",0,2896.091,-15403.71,0,六组,535
90,12705,"31°15'04.315689""N","121°18'48.524976""E",0,1756.053,-14637.766,0,六组,536
91,12706,"31°14'44.615760""N","121°18'56.415856""E",0,1149.043,-14429.796,0,六组,537
92,12121,"31°15'57.876390""N","121°17'18.441340""E",-0.001,3409.169,-17018.686,0,六组,538
93,12122,"31°15'57.687073""N","121°16'58.445596""E",-0.001,3404.195,-17547.686,0,六组,539
